descricao,de_m,para_m,well_id
Fm Botucatu,137.1468506,230.8085022,priv_234
Fm Guará Sup,230.8085022,248.76,priv_234
Fm Serra Geral,0.0,37.206604,priv_235
Fm Botucatu,37.206604,80.14117432,priv_235
Fm Guará Sup,80.14117432,100.3977356,priv_235
Fm Guará Inf,100.3977356,130.0,priv_235
Fm Botucatu,0.0,90.26834106,priv_236
Fm Guará Sup,90.26834106,100.0,priv_236
Fm Botucatu,0.0,90.26834106,priv_237
Fm Guará Sup,90.26834106,100.0,priv_237
Fm Botucatu,0.0,60.0,priv_238
Fm Serra Geral,0.0,71.30975342,priv_239
Fm Botucatu,71.30975342,178.7363586,priv_239
Fm Guará Sup,178.7363586,180.0,priv_239
Fm Serra Geral,0.0,18.0,priv_240
Fm Serra Geral,0.0,15.0,priv_241
Fm Serra Geral,0.0,27.41821289,priv_242
Fm Botucatu,27.41821289,122.8223877,priv_242
Fm Guará Sup,122.8223877,147.2260742,priv_242
Fm Guará Inf,147.2260742,188.0165405,priv_242
Fm Piramboia Sup,188.0165405,190.0,priv_242
Fm Botucatu,0.0,60.0,priv_244
Fm Botucatu,0.0,60.0,priv_245
Fm Serra Geral,0.0,28.76519775,priv_246
Fm Botucatu,28.76519775,125.0,priv_246
Fm Serra Geral,0.0,118.0559692,priv_247
Fm Botucatu,118.0559692,200.0,priv_247
Fm Serra Geral,0.0,137.5185547,priv_248
Fm Botucatu,137.5185547,230.0,priv_248
Fm Serra Geral,0.0,45.0,priv_249
Fm Botucatu,0.0,105.0,priv_250
Fm Botucatu,0.0,61.91152954,priv_251
Fm Guará Inf,61.91152954,86.36886597,priv_251
Fm Piramboia Sup,86.36886597,100.0,priv_251
Fm Serra Geral,0.0,60.0,priv_252
Fm Serra Geral,0.0,101.6327209,priv_253
Fm Botucatu,101.6327209,180.0,priv_253
Fm Serra Geral,0.0,94.27185059,priv_254
Fm Botucatu,94.27185059,118.0,priv_254
Fm Serra Geral,0.0,51.90939331,priv_255
Fm Botucatu,51.90939331,104.0,priv_255
Fm Serra Geral,0.0,79.912323,priv_256
Fm Botucatu,79.912323,182.0,priv_256
Fm Serra Geral,0.0,191.1157532,priv_257
Fm Botucatu,191.1157532,248.4370728,priv_257
Fm Guará Sup,248.4370728,288.1381531,priv_257
Fm Guará Inf,288.1381531,311.9227905,priv_257
Fm Piramboia Sup,311.9227905,370.0,priv_257
Fm Serra Geral,0.0,69.08773804,priv_258
Fm Botucatu,69.08773804,180.0,priv_258
Fm Serra Geral,0.0,78.0,priv_259
Fm Botucatu,0.0,50.0,priv_260
Fm Serra Geral,0.0,157.0825806,priv_261
Fm Botucatu,157.0825806,240.0,priv_261
Fm Serra Geral,0.0,109.84,priv_262
Fm Serra Geral,0.0,101.0749817,priv_263
Fm Botucatu,101.0749817,180.0,priv_263
Fm Serra Geral,0.0,56.76196289,priv_264
Fm Botucatu,56.76196289,164.78,priv_264
Fm Serra Geral,0.0,154.3237305,priv_265
Fm Botucatu,154.3237305,242.677887,priv_265
Fm Guará Sup,242.677887,275.6295776,priv_265
Fm Guará Inf,275.6295776,300.0,priv_265
Fm Serra Geral,0.0,117.040741,priv_266
Fm Botucatu,117.040741,215.0,priv_266
Fm Botucatu,0.0,65.36151123,priv_267
Fm Guará Sup,65.36151123,90.0,priv_267
Fm Serra Geral,0.0,2.358642578,priv_268
Fm Botucatu,2.358642578,86.26931763,priv_268
Fm Guará Sup,86.26931763,104.877655,priv_268
Fm Guará Inf,104.877655,120.0,priv_268
Fm Serra Geral,0.0,3.713989258,priv_269
Fm Botucatu,3.713989258,87.78646851,priv_269
Fm Guará Sup,87.78646851,108.3157959,priv_269
Fm Guará Inf,108.3157959,120.0,priv_269
Fm Serra Geral,0.0,65.69464111,priv_270
Fm Botucatu,65.69464111,172.1718445,priv_270
Fm Guará Sup,172.1718445,192.1721802,priv_270
Fm Guará Inf,192.1721802,229.369812,priv_270
Fm Piramboia Sup,229.369812,300.0,priv_270
Fm Serra Geral,0.0,28.0,priv_271
Fm Serra Geral,0.0,128.7945251,priv_272
Fm Botucatu,128.7945251,250.0,priv_272
Fm Serra Geral,0.0,47.83837891,priv_274
Fm Botucatu,47.83837891,148.0,priv_274
Fm Serra Geral,0.0,110.1941833,priv_277
Fm Botucatu,110.1941833,144.0,priv_277
Fm Serra Geral,0.0,42.33898926,priv_279
Fm Botucatu,42.33898926,67.47183228,priv_279
Fm Guará Sup,67.47183228,79.88858032,priv_279
Fm Guará Inf,79.88858032,121.9276733,priv_279
Fm Piramboia Sup,121.9276733,200.0,priv_279
Fm Serra Geral,0.0,106.0228271,priv_280
Fm Botucatu,106.0228271,120.0,priv_280
Fm Serra Geral,0.0,45.83630371,priv_281
Fm Botucatu,45.83630371,95.0,priv_281
Fm Serra Geral,0.0,29.93756104,priv_282
Fm Botucatu,29.93756104,113.7142334,priv_282
Fm Guará Sup,113.7142334,121.2590332,priv_282
Fm Guará Inf,121.2590332,130.0,priv_282
Fm Serra Geral,0.0,9.737976074,priv_283
Fm Botucatu,9.737976074,101.7313843,priv_283
Fm Guará Sup,101.7313843,124.7004395,priv_283
Fm Guará Inf,124.7004395,164.6412659,priv_283
Fm Piramboia Sup,164.6412659,200.0,priv_283
Fm Serra Geral,0.0,100.0,priv_284
Fm Botucatu,0.0,82.0,priv_285
Fm Botucatu,0.0,80.0,priv_287
Fm Botucatu,0.0,69.43786621,priv_288
Fm Guará Sup,69.43786621,77.25964355,priv_288
Fm Guará Inf,77.25964355,98.16744995,priv_288
Fm Piramboia Sup,98.16744995,110.0,priv_288
Fm Botucatu,0.0,50.0,priv_290
Fm Serra Geral,0.0,99.87945557,priv_291
Fm Botucatu,99.87945557,217.7782593,priv_291
Fm Guará Sup,217.7782593,230.0,priv_291
Fm Serra Geral,0.0,24.72235107,priv_292
Fm Botucatu,24.72235107,147.6040649,priv_292
Fm Guará Sup,147.6040649,150.0,priv_292
Fm Serra Geral,0.0,24.77996826,priv_293
Fm Botucatu,24.77996826,26.0,priv_293
Fm Botucatu,0.0,42.0,priv_294
Fm Botucatu,0.0,100.0,priv_295
Fm Serra Geral,0.0,109.4401245,priv_296
Fm Botucatu,109.4401245,213.0,priv_296
Fm Serra Geral,0.0,64.31097412,priv_297
Fm Botucatu,64.31097412,181.0,priv_297
Fm Botucatu,0.0,80.0,priv_298
Fm Botucatu,0.0,69.12478638,priv_299
Fm Guará Inf,69.12478638,85.52401733,priv_299
Fm Piramboia Sup,85.52401733,86.0,priv_299
Fm Botucatu,0.0,83.75057983,priv_300
Fm Guará Sup,83.75057983,93.87030029,priv_300
Fm Guará Inf,93.87030029,120.0,priv_300
Fm Serra Geral,0.0,5.4453125,priv_301
Fm Botucatu,5.4453125,93.0,priv_301
Fm Serra Geral,0.0,6.50012207,priv_302
Fm Botucatu,6.50012207,93.98965454,priv_302
Fm Guará Sup,93.98965454,110.0,priv_302
Fm Serra Geral,0.0,71.10037231,priv_303
Fm Botucatu,71.10037231,115.0,priv_303
Fm Serra Geral,0.0,77.60614014,priv_304
Fm Botucatu,77.60614014,90.0,priv_304
Fm Serra Geral,0.0,76.35342407,priv_305
Fm Botucatu,76.35342407,149.06604,priv_305
Fm Guará Sup,149.06604,175.5495605,priv_305
Fm Guará Inf,175.5495605,202.3703918,priv_305
Fm Piramboia Sup,202.3703918,236.0,priv_305
Fm Botucatu,0.0,96.0,priv_306
Fm Serra Geral,0.0,91.85522461,priv_307
Fm Botucatu,91.85522461,177.444458,priv_307
Fm Guará Sup,177.444458,200.0,priv_307
Fm Serra Geral,0.0,3.697570801,priv_308
Fm Botucatu,3.697570801,97.71884155,priv_308
Fm Guará Inf,97.71884155,119.0,priv_308
Fm Serra Geral,0.0,76.77380371,priv_309
Fm Botucatu,76.77380371,168.0,priv_309
Fm Botucatu,0.0,64.08398438,priv_310
Fm Guará Sup,64.08398438,91.10919189,priv_310
Fm Guará Inf,91.10919189,100.0,priv_310
Fm Serra Geral,0.0,130.0,priv_311
Fm Serra Geral,0.0,48.72225952,priv_312
Fm Botucatu,48.72225952,70.0,priv_312
Fm Serra Geral,0.0,100.0,priv_313
Fm Botucatu,0.0,73.30340576,priv_314
Fm Guará Sup,73.30340576,92.92605591,priv_314
Fm Guará Inf,92.92605591,128.4234009,priv_314
Fm Piramboia Sup,128.4234009,150.0,priv_314
Fm Serra Geral,0.0,16.56829834,priv_315
Fm Botucatu,16.56829834,135.0,priv_315
Fm Serra Geral,0.0,10.35980225,priv_316
Fm Botucatu,10.35980225,14.7744751,priv_316
Fm Guará Sup,14.7744751,25.46020508,priv_316
Fm Guará Inf,25.46020508,73.775177,priv_316
Fm Piramboia Sup,73.775177,80.0,priv_316
Fm Serra Geral,0.0,8.166931152,priv_317
Fm Botucatu,8.166931152,62.0,priv_317
Fm Botucatu,0.0,65.0,priv_318
Fm Serra Geral,0.0,8.166931152,priv_319
Fm Botucatu,8.166931152,70.0,priv_319
Fm Serra Geral,0.0,5.8,priv_320
Fm Serra Geral,0.0,68.60571289,priv_321
Fm Botucatu,68.60571289,120.0,priv_321
Fm Serra Geral,0.0,10.90087891,priv_323
Fm Botucatu,10.90087891,134.7380066,priv_323
Fm Guará Inf,134.7380066,136.0,priv_323
Fm Serra Geral,0.0,48.87472534,priv_324
Fm Botucatu,48.87472534,165.6931763,priv_324
Fm Guará Sup,165.6931763,180.0,priv_324
Fm Serra Geral,0.0,131.6324768,priv_325
Fm Botucatu,131.6324768,200.0,priv_325
Fm Serra Geral,0.0,90.0,priv_326
Fm Serra Geral,0.0,90.0,priv_328
Fm Serra Geral,0.0,109.0236206,priv_329
Fm Botucatu,109.0236206,138.6972046,priv_329
Fm Guará Sup,138.6972046,166.0176086,priv_329
Fm Guará Inf,166.0176086,206.9938965,priv_329
Fm Piramboia Sup,206.9938965,276.7329102,priv_329
Fm Piramboia Inf,276.7329102,400.0,priv_329
Fm Botucatu,0.0,56.0,priv_330
Fm Serra Geral,0.0,24.60845947,priv_332
Fm Botucatu,24.60845947,80.0,priv_332
Fm Serra Geral,0.0,1.0,priv_333
Fm Serra Geral,0.0,48.52606201,priv_334
Fm Botucatu,48.52606201,140.0,priv_334
Fm Serra Geral,0.0,70.0,priv_336
Fm Serra Geral,0.0,144.6151123,priv_337
Fm Botucatu,144.6151123,225.0549927,priv_337
Fm Guará Sup,225.0549927,255.7427063,priv_337
Fm Guará Inf,255.7427063,283.1383972,priv_337
Fm Piramboia Sup,283.1383972,332.0,priv_337
Fm Serra Geral,0.0,143.5784912,priv_338
Fm Botucatu,143.5784912,204.0,priv_338
Fm Serra Geral,0.0,56.47396851,priv_339
Fm Botucatu,56.47396851,141.4706116,priv_339
Fm Guará Sup,141.4706116,150.0,priv_339
Fm Serra Geral,0.0,4.893313885,priv_340
Fm Botucatu,4.893313885,104.0,priv_340
Fm Serra Geral,0.0,93.09899902,priv_341
Fm Botucatu,93.09899902,150.0,priv_341
Fm Serra Geral,0.0,24.77276611,priv_342
Fm Botucatu,24.77276611,100.0,priv_342
Fm Serra Geral,0.0,73.30731201,priv_343
Fm Botucatu,73.30731201,120.0,priv_343
Fm Serra Geral,0.0,5.708984375,priv_345
Fm Botucatu,5.708984375,79.55728149,priv_345
Fm Guará Sup,79.55728149,97.20178223,priv_345
Fm Guará Inf,97.20178223,100.0,priv_345
Fm Serra Geral,0.0,124.6230164,priv_346
Fm Botucatu,124.6230164,250.0,priv_346
Fm Serra Geral,0.0,100.0,priv_347
Fm Serra Geral,0.0,56.34509277,priv_348
Fm Botucatu,56.34509277,106.2613525,priv_348
Fm Guará Sup,106.2613525,138.0193176,priv_348
Fm Guará Inf,138.0193176,140.0,priv_348
Fm Serra Geral,0.0,123.0033569,priv_350
Fm Botucatu,123.0033569,200.0,priv_350
Fm Botucatu,0.0,97.00869751,priv_351
Fm Guará Sup,97.00869751,109.9181824,priv_351
Fm Guará Inf,109.9181824,148.146698,priv_351
Fm Piramboia Sup,148.146698,216.3294067,priv_351
Fm Piramboia Inf,216.3294067,250.0,priv_351
Fm Serra Geral,0.0,32.0513916,priv_352
Fm Botucatu,32.0513916,142.0433655,priv_352
Fm Guará Sup,142.0433655,150.0,priv_352
Fm Serra Geral,0.0,139.5636597,priv_354
Fm Botucatu,139.5636597,147.0,priv_354
Fm Serra Geral,0.0,148.3800659,priv_355
Fm Botucatu,148.3800659,240.6445007,priv_355
Fm Guará Sup,240.6445007,262.2558899,priv_355
Fm Guará Inf,262.2558899,280.0,priv_355
Fm Serra Geral,0.0,23.40319824,priv_356
Fm Botucatu,23.40319824,108.3114014,priv_356
Fm Guará Sup,108.3114014,137.9455566,priv_356
Fm Guará Inf,137.9455566,177.0603333,priv_356
Fm Piramboia Sup,177.0603333,200.0,priv_356
Fm Serra Geral,0.0,36.31921387,priv_357
Fm Botucatu,36.31921387,130.0,priv_357
Fm Serra Geral,0.0,145.04422,priv_358
Fm Botucatu,145.04422,236.893219,priv_358
Fm Guará Sup,236.893219,240.2229309,priv_358
Fm Guará Inf,240.2229309,277.6897888,priv_358
Fm Piramboia Sup,277.6897888,300.0,priv_358
Fm Serra Geral,0.0,51.31253052,priv_359
Fm Botucatu,51.31253052,150.8256531,priv_359
Fm Guará Sup,150.8256531,166.6799011,priv_359
Fm Guará Inf,166.6799011,197.1430664,priv_359
Fm Piramboia Sup,197.1430664,239.7079468,priv_359
Fm Piramboia Inf,239.7079468,280.0,priv_359
Fm Serra Geral,0.0,3.30060339,priv_361
Fm Botucatu,3.30060339,42.0,priv_361
Fm Botucatu,0.0,78.5,priv_375
Fm Serra Geral,0.0,222.0,priv_391
